# INPE PRODES - Annual Deforestation in the Legal Amazon (km²)
# Source: Instituto Nacional de Pesquisas Espaciais (INPE)
# Dataset: PRODES (Projeto de Monitoramento do Desflorestamento na Amazônia Legal)
# URL: http://www.obt.inpe.br/OBT/assuntos/programas/amazonia/prodes
# Accessed: 2025-12-06
# Notes: Annual deforestation increments in Brazilian Legal Amazon
#        Values from 2023-2024 are preliminary estimates
year,deforestation_km2,notes
1988,21050,
1989,17770,
1990,13730,
1991,11030,
1992,13786,
1993,14896,
1994,14896,
1995,29059,Peak deforestation year
1996,18161,
1997,13227,
1998,17383,
1999,17259,
2000,18226,
2001,18165,
2002,21651,
2003,25396,
2004,27772,Second highest - PPCDAm begins
2005,19014,
2006,14286,
2007,11651,
2008,12911,
2009,7464,
2010,7000,
2011,6418,
2012,4571,Historic low
2013,5891,
2014,5012,
2015,6207,
2016,7893,
2017,6947,
2018,7536,
2019,10129,Increase under new government
2020,10851,
2021,13038,
2022,11594,
2023,9001,Preliminary
2024,6288,Preliminary estimate (Aug 2023-Jul 2024)
