internalTaxonId,scientificName,name,language,main
10041,Heosemys annandalii,Yellow-headed Temple Turtle,English,true
10825,Indotestudo forstenii,Celebes Tortoise,English,false
10825,Indotestudo forstenii,East Indian Tortoise,English,false
10825,Indotestudo forstenii,Sulawesi Tortoise,English,false
10825,Indotestudo forstenii,Travancore Tortoise,English,false
10825,Indotestudo forstenii,Baning Sulawesi,Indonesian,false
10825,Indotestudo forstenii,Tortue des Celèbes,French,false
10825,Indotestudo forstenii,Tortue de Tranvancore,French,false
10825,Indotestudo forstenii,Tortuga Marrón de la India,Spanish; Castilian,false
10825,Indotestudo forstenii,Forsten's Tortoise,English,true
10950,Pangshura sylhetensis,Assam Roofed Turtle,English,true
12958,Megalagrion oceanicum,Oceanic Hawaiian Damselfly,English,true
135889,Telmatobius sanborni,Sanborn's Water Frog,English,true
14765,Nilssonia formosa,Burmese Peacock Softshell,English,true
15026,Mauremys sinensis,Chinese Stripe-necked Turtle,English,true
15509,Orlitia borneensis,Bornean River Turtle,English,false
15509,Orlitia borneensis,Malaysian Giant Turtle,English,true
15918,Palea steindachneri,Wattle-necked Softshell Turtle,English,true
160595,Pseudochazara cingovskii,Macedonian Grayling,English,true
284113569,Paratrygon aiereba,Ceja Ray,English,false
284113569,Paratrygon aiereba,Manzana Ray,English,false
284113569,Paratrygon aiereba,Arraia Aramassá ou Maramassá,Portuguese,false
284113569,Paratrygon aiereba,Arraia Nari-nari,Portuguese,false
284113569,Paratrygon aiereba,Arraia Paraíba,Portuguese,false
284113569,Paratrygon aiereba,Discusray,Portuguese,false
284113569,Paratrygon aiereba,Raya,Spanish; Castilian,false
284113569,Paratrygon aiereba,Raya Manta,Spanish; Castilian,false
284113569,Paratrygon aiereba,Discus Stingray,English,true
163458,Batagur borneoensis,Painted Batagur,English,false
163458,Batagur borneoensis,Saw-jawed Terrapin,English,false
163458,Batagur borneoensis,Three-striped Batagur,English,false
163458,Batagur borneoensis,Painted Terrapin,English,true
135458600,Pelochelys cantorii,Cantor's Giant Softshell,English,false
135458600,Pelochelys cantorii,Frog-faced Softshell Turtle,English,false
135458600,Pelochelys cantorii,Asian Giant Softshell Turtle,English,true
170525,Chitra vandijki,Burmese Narrow-headed Softshell Turtle,English,true
17585,Platysternon megacephalum,Big-headed Turtle,English,true
17629,Plethodon shenandoah,Shenandoah Salamander,English,true
177808,Partula leefei,Rotuma Tree Snail,English,true
186326,Notholebias fractifasciatus,Peixe-anual,Portuguese,true
186384,Hypsolebias rufus,Peixe-anual,Portuguese,true
186517,Leptopanchax citrinipinnis,Peixe-anual,Portuguese,true
186522,Delturus parahybae,Cascudo,Portuguese,true
186558,Phalloptychus eigenmanni,Bobó,Portuguese,false
186558,Phalloptychus eigenmanni,Guaru,Portuguese,false
186558,Phalloptychus eigenmanni,Pari-vivo,Portuguese,false
186558,Phalloptychus eigenmanni,Barrigudinho,Portuguese,true
186565,Notholebias cruzi,Peixe-anual,Portuguese,true
186718,Trichomycterus itacarambiensis,Bagrinho-de-caverna,Portuguese,false
186747,Campellolebias dorsimaculatus,Peixe-anual-do-ribeira,Portuguese,false
186747,Campellolebias dorsimaculatus,Peixe-anual,Portuguese,true
186947,Simpsonichthys zonatus,Peixe-anual,Portuguese,true
187080,Hypsolebias janaubensis,Peixe-anual,Portuguese,true
187089,Phallotorynus fasciolatus,Barrigudinho,Portuguese,false
187089,Phallotorynus fasciolatus,Guaru-listrado-da-cabeceira,Portuguese,true
187104,Ophthalmolebias perpendicularis,Peixe-anual,Portuguese,true
187243,Campellolebias chrysolineatus,Peixe-anual,Portuguese,true
187260,Campellolebias intermedius,Peixe-anual-de-juquiá,Portuguese,false
187260,Campellolebias intermedius,Peixe-anual,Portuguese,true
193208,Pascua sticta,Glover's Tasman Goby,English,false
193208,Pascua sticta,Glover's Tasmangoby,English,true
194061,Trimeresurus labialis,Nicobar Bamboo Pitviper,English,false
194061,Trimeresurus labialis,Island Pit Viper,English,true
195006,Eleutherodactylus aporostegus,Tiburon Burrowing Frog,English,true
195007,Eleutherodactylus bothroboans,Cordillera Central Frog,English,true
195009,Eleutherodactylus limbensis,Haitian Streamside Frog,English,true
195013,Eleutherodactylus rucillensis,Rucilla Streamside Frog,English,true
195340,Coregonus vessicus,Beloye Cisco,English,true
195408,Megophrys sangzhiensis,桑植角蟾,Chinese,false
195408,Megophrys sangzhiensis,Sangzhi Horned Toad,English,true
19797,Sacalia quadriocellata,Four-eyed Turtle,English,true
203108,Anolis monteverde,Monteverde Anole,English,true
203127,Anolis utilensis,Mangrove Anole,English,true
203128,Anolis villai,Corn Island Anole,English,true
203674,Anolis tenorioensis,Tenorio Anole,English,true
2111,Neoarius taylori,Taylor's Catfish,English,false
2173,Nilssonia nigricans,Black Soft-shell Turtle,English,false
2173,Nilssonia nigricans,Botsami Softshell,English,false
2173,Nilssonia nigricans,Black Softshell Turtle,English,true
2174,Nilssonia leithii,Leith's Softshell Turtle,English,true
39352,Galeorhinus galeus,School Shark,English,false
39352,Galeorhinus galeus,Snapper Shark,English,false
