country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
Australia and New Zealand (M49),aggregated,2011,0.830232179706985929,0.817920420917285784,0.837535836837497105,,
Australia and New Zealand (M49),aggregated,1993,0.877789633289077997,0.875082815115965862,0.880538958191150911,,
Australia and New Zealand (M49),aggregated,1994,0.876871451845268046,0.874271855237781947,0.879215683680037996,,
Australia and New Zealand (M49),aggregated,1996,0.874056116612904943,0.869181162102491967,0.876934567832344136,,
Australia and New Zealand (M49),aggregated,1997,0.872064227609910092,0.866179761188922925,0.875619576840939051,,
Australia and New Zealand (M49),aggregated,1999,0.865934363790768935,0.859911741609249991,0.871142154473520947,,
Australia and New Zealand (M49),aggregated,2000,0.862673677037021913,0.857220879990527873,0.868074697231723036,,
Australia and New Zealand (M49),aggregated,2001,0.859545901650189181,0.854258688853633985,0.86500834958449202,,
Australia and New Zealand (M49),aggregated,2006,0.844102185435804175,0.838748337525597076,0.849897073005479009,,
Australia and New Zealand (M49),aggregated,2007,0.841655820914136044,0.835864383463573057,0.847076646247164056,,
Australia and New Zealand (M49),aggregated,2008,0.838279364864978893,0.832002790130212055,0.843924067636925845,,
Australia and New Zealand (M49),aggregated,2009,0.835906968738496015,0.827037099022684963,0.84107987229318415,,
Australia and New Zealand (M49),aggregated,2010,0.833471258819549088,0.82266890840183915,0.838905475863547023,,
Australia and New Zealand (M49),aggregated,2012,0.827585537437739993,0.814171023192587051,0.835761869484650033,,
Australia and New Zealand (M49),aggregated,2013,0.82421961882441086,0.809802840397643053,0.834978485505954882,,
Australia and New Zealand (M49),aggregated,2014,0.82085324434090301,0.804200832021232048,0.833494566879262044,,
Australia and New Zealand (M49),aggregated,2015,0.817860619516112108,0.801225955290632119,0.833609000489488938,,
Australia and New Zealand (M49),aggregated,2019,0.805246466367087077,0.779763755810584991,0.828662699523392887,,
Australia and New Zealand (M49),aggregated,2004,0.850346065155625053,0.844652282916667052,0.85582572645479793,,
Australia and New Zealand (M49),aggregated,2005,0.847689680094826925,0.842081852110394991,0.853075328603190908,,
Australia and New Zealand (M49),aggregated,2016,0.814643585585122842,0.794004191640981016,0.831769323345421974,,
Australia and New Zealand (M49),aggregated,1995,0.875505002546717037,0.872433158426584199,0.878211477688002895,,
Australia and New Zealand (M49),aggregated,1998,0.868829961367715842,0.863056417764188066,0.873875199422386006,,
Australia and New Zealand (M49),aggregated,2002,0.8565592036528209,0.851353812122474185,0.861765283750000055,,
Australia and New Zealand (M49),aggregated,2003,0.853508067809944149,0.848319828226127948,0.859243632502827981,,
Australia and New Zealand (M49),aggregated,2017,0.811516982816357868,0.789016570887924096,0.830981456994080991,,
Australia and New Zealand (M49),aggregated,2018,0.808615724526055013,0.784770293059883994,0.829833620515049053,,
Australia and New Zealand (M49),aggregated,2020,0.802167092988939845,0.775387012645179063,0.827499874202800134,,
