country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
Southern Asia (MDG=M49),aggregated,2004,0.72631822264190582,0.71443338161742409,0.73763550391666699,,
Southern Asia (MDG=M49),aggregated,1996,0.755387579466777925,0.738656718652719979,0.772756718945087018,,
Southern Asia (MDG=M49),aggregated,1997,0.753133351325032008,0.73624157949408997,0.769709012942173088,,
Southern Asia (MDG=M49),aggregated,1999,0.745781489117455898,0.729546298785836989,0.759726699437759945,,
Southern Asia (MDG=M49),aggregated,2000,0.742129489353994032,0.727253558166666925,0.755131704111974056,,
Southern Asia (MDG=M49),aggregated,2001,0.737341395605737082,0.723730143861540887,0.750632253768817925,,
Southern Asia (MDG=M49),aggregated,2002,0.734422458050017934,0.720468457159090914,0.745870037541189079,,
Southern Asia (MDG=M49),aggregated,2018,0.675018226460092907,0.638883111789524949,0.707976858082919991,,
Southern Asia (MDG=M49),aggregated,1993,0.759993824313979993,0.739596030994317033,0.783157554736614081,,
Southern Asia (MDG=M49),aggregated,1994,0.759469653424439173,0.740086985047542889,0.780297513006039112,,
Southern Asia (MDG=M49),aggregated,2008,0.711728478748760107,0.699397118389938899,0.721043470118601038,,
Southern Asia (MDG=M49),aggregated,2015,0.686402189991535128,0.658353018420413938,0.709186514254512068,,
Southern Asia (MDG=M49),aggregated,2016,0.681884795633389995,0.65355307271251295,0.708678952356773029,,
Southern Asia (MDG=M49),aggregated,2017,0.679136227937973014,0.647000132161520081,0.708463857344536985,,
Southern Asia (MDG=M49),aggregated,2005,0.722449396745282968,0.711029478321969943,0.733584675687765086,,
Southern Asia (MDG=M49),aggregated,2006,0.719143299351840071,0.707675465849709973,0.729598658976785108,,
Southern Asia (MDG=M49),aggregated,2020,0.666854300644581066,0.626761327982610972,0.706205493200515066,,
Southern Asia (MDG=M49),aggregated,2003,0.73027066702686716,0.71673412963706995,0.741887799450067997,,
Southern Asia (MDG=M49),aggregated,2010,0.704422285494407996,0.687264687905785987,0.715816491942359079,,
Southern Asia (MDG=M49),aggregated,2011,0.700832275631373958,0.683736628134376967,0.713864017484137969,,
Southern Asia (MDG=M49),aggregated,2009,0.707719549147547089,0.695757041572632962,0.718819765100925823,,
Southern Asia (MDG=M49),aggregated,2012,0.696571127796521083,0.676976066942088006,0.71239670244947495,,
Southern Asia (MDG=M49),aggregated,2013,0.693441812078383957,0.671443069308833906,0.710869529522719978,,
Southern Asia (MDG=M49),aggregated,2014,0.690143469110429009,0.667750725282969082,0.710370839032137935,,
Southern Asia (MDG=M49),aggregated,1995,0.757672448956598021,0.73978755935184215,0.777769943953765086,,
Southern Asia (MDG=M49),aggregated,1998,0.749605230108603138,0.733355840541667026,0.766643801866695895,,
Southern Asia (MDG=M49),aggregated,2007,0.715161608746752164,0.702590472172402891,0.725605686135907035,,
Southern Asia (MDG=M49),aggregated,2019,0.670724495494166018,0.633784597717068965,0.706957121712290082,,
