country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
"",aggregated,1995,0.792620790244334072,0.776324004611296914,0.810745187063243944,,
"",aggregated,1997,0.789589108859093058,0.775997951500880023,0.809828160462280011,,
"",aggregated,2007,0.775072931297073109,0.771336740824387967,0.783070194340759973,,
"",aggregated,2016,0.770533601206890073,0.734915299521539112,0.774815907724224151,,
"",aggregated,2017,0.770225467865255919,0.728744149923318041,0.774763278221736962,,
"",aggregated,2015,0.771106889398463058,0.738974319840295935,0.774873696463779016,,
"",aggregated,2006,0.775652176938251947,0.774230606057735971,0.786016836291323018,,
"",aggregated,1993,0.794270352835283022,0.776539406117082054,0.811373796261536939,,
"",aggregated,1994,0.794042162531939155,0.77641976616456998,0.811135470041629114,,
"",aggregated,1998,0.788114143401382861,0.775942916489159029,0.809590069742140872,,
"",aggregated,1996,0.791130197031837956,0.776155058411552856,0.810422298966816945,,
"",aggregated,1999,0.78644410817462207,0.775681528475402837,0.806516495755785878,,
"",aggregated,2000,0.784825743357180028,0.775453464686599037,0.803514846069355859,,
"",aggregated,2008,0.774644379148454076,0.768283588083879976,0.780240326582927968,,
"",aggregated,2012,0.772367983809074898,0.751628884048608947,0.775191813966872978,,
"",aggregated,2002,0.781601188842505956,0.775082441621582907,0.797785089421950921,,
"",aggregated,2018,0.769838936120915807,0.724699477212040866,0.774675455662195978,,
"",aggregated,2019,0.76950112594888409,0.718845260296554156,0.774580053366697996,,
"",aggregated,2020,0.768986314831041962,0.712434271661495977,0.774474240040195827,,
"",aggregated,2005,0.776636297632868011,0.774454251561767948,0.788993184700323091,,
"",aggregated,2014,0.771438054596219946,0.741981992329671991,0.775047854496579869,,
"",aggregated,2004,0.778085638086999931,0.774672305334368927,0.791789199193087101,,
"",aggregated,2010,0.773624620238624994,0.761090378514867827,0.775374832095992894,,
"",aggregated,2011,0.772725643712359078,0.756469158285536958,0.775319713341100947,,
"",aggregated,2009,0.774381338719680956,0.766096306002705951,0.777588247770295893,,
"",aggregated,2013,0.771947073121163951,0.747414222568370978,0.775116768255030841,,
"",aggregated,2001,0.783041069355555064,0.775223084985725008,0.800748670307755872,,
"",aggregated,2003,0.779787660230495949,0.774859072287321982,0.794807297475800034,,
