assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
495907,10041,Heosemys annandalii,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Heosemys,annandalii,,,,"(Boulenger in Annandale &amp; Robinson, 1903)",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
499158,10825,Indotestudo forstenii,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TESTUDINIDAE,Indotestudo,forstenii,,,,"(Schlegel &amp; Müller, 1845)",Critically Endangered,A4cd,3.1,Decreasing,Global
499618,10950,Pangshura sylhetensis,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Pangshura,sylhetensis,,,,"Jerdon, 1870",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
510839,12958,Megalagrion oceanicum,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Megalagrion,oceanicum,,,,"McLachlan, 1883",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
516369,135889,Telmatobius sanborni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,TELMATOBIIDAE,Telmatobius,sanborni,,,,"Schmidt, 1954",Critically Endangered,A2ace+4ace,3.1,Decreasing,Global
546244,14765,Nilssonia formosa,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TRIONYCHIDAE,Nilssonia,formosa,,,,"(Gray, 1869)",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
547319,15026,Mauremys sinensis,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Mauremys,sinensis,,,,"(Gray, 1834)",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
724972,15509,Orlitia borneensis,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Orlitia,borneensis,,,,"Gray, 1873",Critically Endangered,A2acd,3.1,Decreasing,Global
794203,15918,Palea steindachneri,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TRIONYCHIDAE,Palea,steindachneri,,,,"(Siebenrock, 1906)",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
841785,160595,Pseudochazara cingovskii,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Pseudochazara,cingovskii,,,,"(Gross, 1973)",Critically Endangered,A3c,3.1,Decreasing,Global & Europe
