internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
10041,Heosemys annandalii,"Hieremys annandalii (Boulenger in Annandale & Robinson,1903)",Hieremys,annandalii,"(Boulenger in Annandale & Robinson,1903)",,
10041,Heosemys annandalii,"Cyclemys annandalii Boulenger in Annandale & Robinson, 1903",Cyclemys,annandalii,"Boulenger in Annandale & Robinson, 1903",,
10825,Indotestudo forstenii,"testudo forstenii Schlegel & Müller, 1845",testudo,forstenii,"Schlegel & Müller, 1845",,
10950,Pangshura sylhetensis,"Kachuga sylhetensis (Jerdon, 1870)",Kachuga,sylhetensis,"(Jerdon, 1870)",,
135889,Telmatobius sanborni,"Telmatobius marmoratus ssp. rugosus Vellard, 1960",Telmatobius,marmoratus,,subspecies,"Vellard, 1960"
14765,Nilssonia formosa,"Trionyx formosus Gray, 1869",Trionyx,formosus,"Gray, 1869",,
14765,Nilssonia formosa,"Trionys peguensis Gray, 1870",Trionys,peguensis,"Gray, 1870",,
14765,Nilssonia formosa,"Trionyx grayii Theobald, 1875",Trionyx,grayii,"Theobald, 1875",,
15026,Mauremys sinensis,"Ocadia glyphistoma McCord & Iverson, 1994 [<i>partim</i>, hybrid]",Ocadia,glyphistoma,"McCord & Iverson, 1994 [<i>partim</i>, hybrid]",,
15026,Mauremys sinensis,"Ocadia sinensis (Gray, 1834)",Ocadia,sinensis,"(Gray, 1834)",,
15026,Mauremys sinensis,"Ocadia philippeni McCord & Iverson, 1992 [<i>partim</i>, hybrid]",Ocadia,philippeni,"McCord & Iverson, 1992 [<i>partim</i>, hybrid]",,
15026,Mauremys sinensis,"Emys sinensis Gray, 1834",Emys,sinensis,"Gray, 1834",,
15026,Mauremys sinensis,"Emys bennetti Gray, 1844",Emys,bennetti,"Gray, 1844",,
15026,Mauremys sinensis,"Testudo anyangensis Ping, 1930 †",Testudo,anyangensis,"Ping, 1930 †",,
15026,Mauremys sinensis,"Ocadia sinensis ssp. changwui Tao, 1988 †",Ocadia,sinensis,,subspecies,"Tao, 1988 †"
15509,Orlitia borneensis,"Hardella baileyi Bartlett, 1895",Hardella,baileyi,"Bartlett, 1895",,
15509,Orlitia borneensis,"Liemys inornata Boulenger, 1897",Liemys,inornata,"Boulenger, 1897",,
15509,Orlitia borneensis,"Clemmys gibbera Peters, 1874",Clemmys,gibbera,"Peters, 1874",,
15509,Orlitia borneensis,"Adelochelys crassa Baur, 1896",Adelochelys,crassa,"Baur, 1896",,
15918,Palea steindachneri,"Trionyx steindachneri Siebenrock, 1906",Trionyx,steindachneri,"Siebenrock, 1906",,
15918,Palea steindachneri,"Aspidonectes californiana Rivers, 1889",Aspidonectes,californiana,"Rivers, 1889",,
160595,Pseudochazara cingovskii,"Satyrus sintenisi cingovskii Gross, 1973",Satyrus,sintenisi cingovskii,"Gross, 1973",,
284113569,Paratrygon aiereba,"Trygon aiereba Müller, 1841",Trygon,aiereba,"Müller, 1841",,
284113569,Paratrygon aiereba,"Raja orbicularis Bloch & Schneider , 1801",Raja,orbicularis,"Bloch & Schneider , 1801",,
284113569,Paratrygon aiereba,"Raia sloani Stephan, 1779",Raia,sloani,"Stephan, 1779",,
284113569,Paratrygon aiereba,"Raja ajereba Walbaum, 1792",Raja,ajereba,"Walbaum, 1792",,
163458,Batagur borneoensis,"Callagur borneoensis (Schlegel & Müller, 1844)",Callagur,borneoensis,"(Schlegel & Müller, 1844)",,
163458,Batagur borneoensis,"Emys borneoensis Schlegel & Müller, 1844",Emys,borneoensis,"Schlegel & Müller, 1844",,
163458,Batagur borneoensis,"Kachuga major Gray, 1873",Kachuga,major,"Gray, 1873",,
163458,Batagur borneoensis,"Batagur  picta Gray, 1862",Batagur ,picta,"Gray, 1862",,
163458,Batagur borneoensis,"Kachuga brookei Bartlett, 1895",Kachuga,brookei,"Bartlett, 1895",,
135458600,Pelochelys cantorii,"Pelochelys clivepalmeri Hoser, 2014",Pelochelys,clivepalmeri,"Hoser, 2014",,
135458600,Pelochelys cantorii,"Pelochelys poljakowii Strauch, 1890",Pelochelys,poljakowii,"Strauch, 1890",,
135458600,Pelochelys cantorii,"Pelochelys cumingii Gray, 1864",Pelochelys,cumingii,"Gray, 1864",,
135458600,Pelochelys cantorii,"Pelochelys cumungii Gray, 1864",Pelochelys,cumungii,"Gray, 1864",,
135458600,Pelochelys cantorii,"Pelochelys telstraorum Hoser, 2014",Pelochelys,telstraorum,"Hoser, 2014",,
135458600,Pelochelys cantorii,"Pelochys cantoris Boulenger, 1889",Pelochys,cantoris,"Boulenger, 1889",,
135458600,Pelochelys cantorii,"Chitra minor Jaekel, 1911 †",Chitra,minor,"Jaekel, 1911 † ",,
17585,Platysternon megacephalum,"Platysternon megacephalum ssp. peguense Gray, 1870",Platysternon,megacephalum,,subspecies,"Gray, 1870"
17585,Platysternon megacephalum,"Platysternon megacephalum ssp. shiui Ernst & McCord, 1987",Platysternon,megacephalum,,subspecies,"Ernst & McCord, 1987"
178272,Anolis cusuco,"Norops cusuco McCranie, Köhler & Wilson, 2000",Norops,cusuco,"McCranie, Köhler & Wilson, 2000",,
178363,Anolis amplisquamosus,"Norops amplisquamosus McCranie, Wilson & Williams, 1992",Norops,amplisquamosus,"McCranie, Wilson & Williams, 1992",,
178478,Anolis muralla,"Norops muralla Köhler, McCranie & Wilson, 1999",Norops,muralla,"Köhler, McCranie & Wilson, 1999",,
186326,Notholebias fractifasciatus,"Cynolebias fractifasciatus Costa, 1988",Cynolebias,fractifasciatus,"Costa, 1988",,
186326,Notholebias fractifasciatus,"Leptolebias fractifasciatus (Costa, 1988)",Leptolebias,fractifasciatus,"(Costa, 1988)",,
186384,Hypsolebias rufus,"Simpsonichthys rufus Costa, Nielsen &amp; de Luca, 2001",Simpsonichthys,rufus,"Costa, Nielsen &amp; de Luca, 2001",,
186517,Leptopanchax citrinipinnis,"Cynolebias citrinipinnis Costa, Lacerda & Tanizaki, 1988",Cynolebias,citrinipinnis,"Costa, Lacerda & Tanizaki, 1988",,
186517,Leptopanchax citrinipinnis,"Leptolebias citrinipinnis (Costa, Lacerda &amp; Tanizaki, 1988)",Leptolebias,citrinipinnis,"(Costa, Lacerda &amp; Tanizaki, 1988)",,
186565,Notholebias cruzi,"Leptolebias cruzi (Costa, 1988)",Leptolebias,cruzi,"(Costa, 1988)",,
186565,Notholebias cruzi,"Cynolebias cruzi Costa, 1988",Cynolebias,cruzi,"Costa, 1988",,
186947,Simpsonichthys zonatus,"Cynolebias zonatus Costa & Brasil, 1990",Cynolebias,zonatus,"Costa & Brasil, 1990",,
187080,Hypsolebias janaubensis,"Simpsonichthys janaubensis Costa, 2006",Simpsonichthys,janaubensis,"Costa, 2006",,
187104,Ophthalmolebias perpendicularis,"Simpsonichthys perpendicularis Costa, Nielsen &amp; de Luca, 2001",Simpsonichthys,perpendicularis,"Costa, Nielsen &amp; de Luca, 2001",,
187186,Atlantirivulus nudiventris,"Rivulus nudiventris Costa &amp; Brasil, 1991",Rivulus,nudiventris,"Costa &amp; Brasil, 1991",,
193208,Pascua sticta,"Hetereleotris sticta Hoese & Larson, 2005",Hetereleotris,sticta,"Hoese & Larson, 2005",,
194061,Trimeresurus labialis,"Bothrophis labialis Fitzinger, 1861 [nomen nudum]",Bothrophis,labialis,"Fitzinger, 1861 [nomen nudum]",,
194061,Trimeresurus labialis,"Cryptelytrops labialis (Steindachner, 1867)",Cryptelytrops,labialis,"(Steindachner, 1867)",,
195013,Eleutherodactylus rucillensis,"Eleutherodactylus schmidti ssp. rucillensis Cochran, 1939",Eleutherodactylus,schmidti,,subspecies,"Cochran, 1939"
195340,Coregonus vessicus,"Coregonus sardinella ssp. vessicus Dryagin, 1932",Coregonus,sardinella,,subspecies,"Dryagin, 1932"
195340,Coregonus vessicus,"Coregonus albula ssp. vessicus Dryagin, 1932",Coregonus,albula,,subspecies,"Dryagin, 1932"
195408,Megophrys sangzhiensis,"Xenophrys sangzhiensis (Jiang, Ye &amp; Fei, 2008)",Xenophrys,sangzhiensis,"(Jiang, Ye &amp; Fei, 2008)",,
19797,Sacalia quadriocellata,"Clemmys bealii ssp. quadriocellata Li, 1958",Clemmys,bealii,,subspecies,"Li, 1958"
19797,Sacalia quadriocellata,"Sacalia pseudocellata Iverson & McCord, 1992 [<i>partim</i>, hybrid]",Sacalia,pseudocellata,"Iverson & McCord, 1992 [<i>partim</i>, hybrid]",,
202899,Leptobrachella khasiorum,"Leptolalax khasiorum Das, Tron, Rangad &amp; Hooroo, 2010",Leptolalax,khasiorum,"Das, Tron, Rangad &amp; Hooroo, 2010",,
203101,Anolis kreutzi,"Norops kreutzi McCranie, Köhler & Wilson, 2000",Norops,kreutzi,"McCranie, Köhler & Wilson, 2000",,
203108,Anolis monteverde,"Norops monteverde (Köhler, 2009)",Norops,monteverde,"(Köhler, 2009)",,
203127,Anolis utilensis,"Norops utilensis Köhler, 1996",Norops,utilensis,"Köhler, 1996",,
203128,Anolis villai,"Norops villai (Fitch & Henderson, 1976)",Norops,villai,"(Fitch & Henderson, 1976)",,
203674,Anolis tenorioensis,"Norops tenorioensis (Köhler, 2011)",Norops,tenorioensis,"(Köhler, 2011)",,
2111,Neoarius taylori,"Arius taylori (Roberts, 1978)",Arius,taylori,"(Roberts, 1978)",,
2111,Neoarius taylori,"Hemipimelodus taylori Roberts, 1978",Hemipimelodus,taylori,"Roberts, 1978",,
2111,Neoarius taylori,"Arius robertsi (Kailola, 1990)",Arius,robertsi,"(Kailola, 1990)",,
2173,Nilssonia nigricans,"Trionyx nigricans Anderson, 1875",Trionyx,nigricans,"Anderson, 1875",,
2173,Nilssonia nigricans,"Aspideretes nigricans (Anderson, 1875)",Aspideretes,nigricans,"(Anderson, 1875)",,
2174,Nilssonia leithii,"Trionyx sulcifrons Annandale, 1915",Trionyx,sulcifrons,"Annandale, 1915",,
2174,Nilssonia leithii,"Aspideretes leithii (Gray, 1872)",Aspideretes,leithii,"(Gray, 1872)",,
2174,Nilssonia leithii,"Trionyx leithii Gray, 1871",Trionyx,leithii,"Gray, 1871",,
2174,Nilssonia leithii,"Trionyx javanicus Gray, 1830",Trionyx,javanicus,"Gray, 1830",,
2174,Nilssonia leithii,"Testudo gataghol Buchanan-Hamilton in Gray, 1831",Testudo,gataghol,"Buchanan-Hamilton in Gray, 1831",,
2174,Nilssonia leithii,"Aspilus gataghol Gray, 1872",Aspilus,gataghol,"Gray, 1872",,
39352,Galeorhinus galeus,Squalus galeus Linnaeus 1758,Squalus,galeus,Linnaeus 1758,,
39596,Heosemys depressa,Geoemyda arakana Theobald 1876,Geoemyda,arakana,Theobald 1876,,
39596,Heosemys depressa,"Geoemyda depressa Anderson, 1875",Geoemyda,depressa,"Anderson, 1875",,
39599,Siebenrockiella leytensis,"Geoemyda leytensis (Taylor, 1920)",Geoemyda,leytensis,"(Taylor, 1920)",,
39599,Siebenrockiella leytensis,"Heosemys leytensis Taylor, 1920",Heosemys,leytensis,"Taylor, 1920",,
39613,Mauremys mutica,"Emys muticus Cantor, 1842",Emys,muticus,"Cantor, 1842",,
39621,Rafetus swinhoei,"Rafetus leloii Duc, 2000",Rafetus,leloii,"Duc, 2000",,
39621,Rafetus swinhoei,"Oscaria swinhoei Gray, 1873",Oscaria,swinhoei,"Gray, 1873",,
39621,Rafetus swinhoei,"Oscaria swinhoei Gray, 1873",Oscaria,swinhoei,"Gray, 1873",,
39621,Rafetus swinhoei,"Yuen leprosus Heude, 1880",Yuen,leprosus,"Heude, 1880",,
39621,Rafetus swinhoei,"Yuen maculatus Heude, 1880",Yuen,maculatus,"Heude, 1880",,
39621,Rafetus swinhoei,"Yuen elegans Heude, 1880",Yuen,elegans,"Heude, 1880",,
39621,Rafetus swinhoei,"Yuen viridis Heude, 1880",Yuen,viridis,"Heude, 1880",,
39621,Rafetus swinhoei,"Pelochelys taihuensis Zhang, 1984 †",Pelochelys,taihuensis,"Zhang, 1984 †",,
39621,Rafetus swinhoei,"Trionyx liupani Tao, 1986 †",Trionyx,liupani,"Tao, 1986 †",,
39621,Rafetus swinhoei,"Rafetus  hoankiemensis Ha, 1995 [<i>nomen novum</i>]",Rafetus ,hoankiemensis,"Ha, 1995 [<i>nomen novum</i>]",,
39621,Rafetus swinhoei,"Rafetus hoguomensis Ha, 1995",Rafetus,hoguomensis,"Ha, 1995",,
39621,Rafetus swinhoei,"Rafetus leloii Ha, 2000",Rafetus,leloii,"Ha, 2000",,
39621,Rafetus swinhoei,"Rafetus vietnamensis Le, Le, Tran, Phan, Tran, Pham, Nguyen, Nong, Phan, Dinh, Truong & Ha, 2010",Rafetus,vietnamensis,"Le, Le, Tran, Phan, Tran, Pham, Nguyen, Nong, Phan, Dinh, Truong & Ha, 2010",,
39621,Rafetus swinhoei,"Yuen pallens Heude, 1880",Yuen,pallens,"Heude, 1880",,
39621,Rafetus swinhoei,"Trionyx swinhonis Boulenger, 1889 [<i>nomen novum</i>]",Trionyx,swinhonis,"Boulenger, 1889 [<i>nomen novum</i>]",,
40761,Leucocephalon yuwonoi,"Geoemyda yuwonoi McCord, Iverson & Boeadi, 1995",Geoemyda,yuwonoi,"McCord, Iverson & Boeadi, 1995",,
40761,Leucocephalon yuwonoi,"Heosemys yuwonoi (McCord, Iverson & Boeadi, 1995)",Heosemys,yuwonoi,"(McCord, Iverson & Boeadi, 1995)",,
41064,Pseudobatos horkelii,"Rhinobatos horkeli Müller & Henle, 1841 [orth. error]",Rhinobatos,horkeli,"Müller & Henle, 1841 [orth. error]",,
41064,Pseudobatos horkelii,"Rhinobatos horkelii Müller &amp; Henle, 1841",Rhinobatos,horkelii,"Müller &amp; Henle, 1841",,
44581,Mustelus fasciatus,"Galeorhinus fasciatus Garman, 1913",Galeorhinus,fasciatus,"Garman, 1913",,
44642,Sympterygia acuta,"Raja echinorhyncha Miranda Ribeiro, 1923",Raja,echinorhyncha,"Miranda Ribeiro, 1923",,
54639,Peltophryne fluviatica,"Bufo fluviaticus Schwartz, 1972",Bufo,fluviaticus,"Schwartz, 1972",,
54639,Peltophryne fluviatica,"Peltophryne fluviaticus Schwartz, 1972 [orth. error]",Peltophryne,fluviaticus,"Schwartz, 1972 [orth. error]",,
55066,Allobates chalcopis,"Colostethus chalcopis Kaiser, Coloma & Gray, 1994",Colostethus,chalcopis,"Kaiser, Coloma & Gray, 1994",,
55855,Agalychnis lemur,"Hylomantis lemur (Boulenger, 1882)",Hylomantis,lemur,"(Boulenger, 1882)",,
55855,Agalychnis lemur,"Phyllomedusa lemur Boulenger, 1882",Phyllomedusa,lemur,"Boulenger, 1882",,
56593,Pristimantis euphronides,"Eleutherodactylus euphronides (Schwartz, 1967)",Eleutherodactylus,euphronides,"(Schwartz, 1967)",,
56593,Pristimantis euphronides,"Eleutherodactylus urichi ssp. euphronides Schwartz, 1967",Eleutherodactylus,urichi,,subspecies,"Schwartz, 1967"
56688,Eleutherodactylus jugans,"Leptodactylus darlingtoni Cochran, 1935",Leptodactylus,darlingtoni,"Cochran, 1935",,
56819,Eleutherodactylus oxyrhyncus,"Eleutherodactylus femur-levis (Cochran, 1935)",Eleutherodactylus,femur-levis,"(Cochran, 1935)",,
56819,Eleutherodactylus oxyrhyncus,"Hylodes oxyrhyncus Duméril & Bibron, 1841",Hylodes,oxyrhyncus,"Duméril & Bibron, 1841",,
56888,Craugastor punctariolus,"Hyla punctariola Peters, 1863",Hyla,punctariola,"Peters, 1863",,
56888,Craugastor punctariolus,"Eleutherodactylus punctariola (Peters, 1863)",Eleutherodactylus,punctariola,"(Peters, 1863)",,
57034,Eleutherodactylus ventrilineatus,"Leptodactylus ventrilineatus Shreve, 1936",Leptodactylus,ventrilineatus,"Shreve, 1936",,
60135,Tetronarce puelcha,"Torpedo puelcha Lahille, 1926",Torpedo,puelcha,"Lahille, 1926",,
60201,Sphyrna media,"Sphyrna nana Sadowsky, 1965",Sphyrna,nana,"Sadowsky, 1965",,
60202,Sphyrna tudes,"Zygaena tudes Valenciennes, 1822",Zygaena,tudes,"Valenciennes, 1822",,
60202,Sphyrna tudes,"Sphyrna bigelowi Springer, 1944",Sphyrna,bigelowi,"Springer, 1944",,
60218,Isogomphodon oxyrhynchus,"Carcharias oxyrhynchus Müller & Henle, 1839",Carcharias,oxyrhynchus,"Müller & Henle, 1839",,
144136822,Carcharhinus porosus,"Carcharias porosus Ranzani, 1839",Carcharias,porosus,"Ranzani, 1839",,
61889,Pseudophilautus stuarti,"Philautus stuarti Meegaskumbura & Manamendra-Arachchi, 2005",Philautus,stuarti,"Meegaskumbura & Manamendra-Arachchi, 2005",,
63124,Dipturus mennii,"Dipturus diehli Soto & Mincarone, 2001",Dipturus,diehli,"Soto & Mincarone, 2001",,
97246272,Gopherus agassizii,"Xerobates lepidocephalus Ottley & Velázquez-Solis, 1989",Xerobates,lepidocephalus,"Ottley & Velázquez-Solis, 1989",,
97246272,Gopherus agassizii,"Xerobates agassizii Cooper, 1861",Xerobates,agassizii,"Cooper, 1861",,
9943,Heosemys grandis,"Geomyda grandis Gray, 1860",Geomyda,grandis,"Gray, 1860",,
9943,Heosemys grandis,Emys siamensis Gray in Gunther 1860,Emys,siamensis,Gray in Gunther 1860,,
903,Alosa alosa,"Alosa communis Yarrell, 1836",Alosa,communis,"Yarrell, 1836",,
903,Alosa alosa,"Alosa rusa Mauduyt, 1849",Alosa,rusa,"Mauduyt, 1849",,
903,Alosa alosa,"Clupea alosa Linnaeus, 1758",Clupea,alosa,"Linnaeus, 1758",,
903,Alosa alosa,"Alausa vulgaris Valenciennes, 1847",Alausa,vulgaris,"Valenciennes, 1847",,
