internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
10041,Heosemys annandalii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Heosemys,annandalii,,,,,"(Boulenger in Annandale &amp; Robinson, 1903)",Appeared on IUCN Red Lists prior to 2007 under the generic name <i>Hieremys</i>.
10825,Indotestudo forstenii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Indotestudo,forstenii,,,,,"(Schlegel &amp; Müller, 1845)",
10950,Pangshura sylhetensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Pangshura,sylhetensis,,,,,"Jerdon, 1870","<p>Traditionally placed in the genus <em>Kachuga</em>, it was assigned to the subgenus <em>Pangshura</em> by Moll (1987); <em>Pangshura</em> was elevated to genus level by Das (2001).&#160;</p>"
12958,Megalagrion oceanicum,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Megalagrion,oceanicum,,,,,"McLachlan, 1883",
135889,Telmatobius sanborni,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,TELMATOBIIDAE,Telmatobius,sanborni,,,,,"Schmidt, 1954",De la Riva (2005) resurrected <em>Telmatobius sanborni</em> from the synonymy of <em>Telmatobius marmoratus</em> on the basis of differences in morphological features and colour patterns.
14765,Nilssonia formosa,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Nilssonia,formosa,,,,,"(Gray, 1869)",
15026,Mauremys sinensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Mauremys,sinensis,,,,,"(Gray, 1834)",Generally considered to consist of at least two morphologically distinguishable lineages.
15509,Orlitia borneensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Orlitia,borneensis,,,,,"Gray, 1873",
15918,Palea steindachneri,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TRIONYCHIDAE,Palea,steindachneri,,,,,"(Siebenrock, 1906)",
160595,Pseudochazara cingovskii,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Pseudochazara,cingovskii,,,,,"(Gross, 1973)",
