country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
LLDC,aggregated,2008,0.802333242929244905,0.799613289023346052,0.804803918076777869,,
LLDC,aggregated,2013,0.797359161343025868,0.793872532203594994,0.800510116045487941,,
LLDC,aggregated,2018,0.792916068117877071,0.786926653501338058,0.797413537819105955,,
LLDC,aggregated,2015,0.795541322993124966,0.791335195742945974,0.799045997152990961,,
LLDC,aggregated,2016,0.794816630916190037,0.789944001163667031,0.798487374497317104,,
LLDC,aggregated,2017,0.793891088608589146,0.788740696281982068,0.798142326426283022,,
LLDC,aggregated,1998,0.811908003862950922,0.808636981216324102,0.816504200858965912,,
LLDC,aggregated,2010,0.800247439153219164,0.797138379789231966,0.803063562231494887,,
LLDC,aggregated,2011,0.799328744211429076,0.796121865045688049,0.802492732569189071,,
LLDC,aggregated,1999,0.810918768674397938,0.808129124514352926,0.814808262670917993,,
LLDC,aggregated,1997,0.81279857342813,0.808953358256693011,0.817914349679574104,,
LLDC,aggregated,2019,0.792040836425749073,0.785889535069296929,0.796928166340315935,,
LLDC,aggregated,2012,0.798301959301052966,0.795006163686977074,0.801700436315387899,,
LLDC,aggregated,2007,0.803327113323044073,0.800803579437392998,0.805872723367241028,,
LLDC,aggregated,2006,0.804299081687477102,0.801778991770468075,0.806810610898089142,,
LLDC,aggregated,2014,0.796386823624477103,0.792416834988314056,0.799669362020135943,,
LLDC,aggregated,2020,0.791201491158877945,0.784890546722432969,0.796582034688347984,,
LLDC,aggregated,2003,0.807177255376662961,0.804920585231595931,0.80956959157199393,,
LLDC,aggregated,1993,0.81667544062669295,0.810229626955247917,0.823779630586992107,,
LLDC,aggregated,1994,0.815728053982344159,0.81018137900901499,0.823081819802785053,,
LLDC,aggregated,1995,0.81482359082722311,0.80961771750575795,0.820720065747009064,,
LLDC,aggregated,1996,0.813991767454845916,0.809555871985594977,0.819612450174469931,,
LLDC,aggregated,2000,0.809883532159007991,0.80745844372409914,0.813565736469037959,,
LLDC,aggregated,2001,0.809075920647099212,0.806879465161962961,0.812427548978124969,,
LLDC,aggregated,2002,0.808118594633439935,0.806051688741349137,0.810801183444922025,,
LLDC,aggregated,2004,0.80642180101060601,0.803774246405107973,0.808560694906139021,,
LLDC,aggregated,2005,0.805229441398284007,0.802985983361742095,0.807648426781292006,,
LLDC,aggregated,2009,0.801404332576113987,0.798447929564937042,0.804030846968047053,,
