country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,1994,0.766675773420149143,0.747764337224435915,0.786167458869540092,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,1999,0.752734579062243947,0.737842268349852115,0.766600225333102014,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2009,0.714436842139358985,0.700887760871554022,0.725028648005052068,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2010,0.711153385130935956,0.695983290463527027,0.721951328679612092,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2011,0.706899073770782094,0.689360593735728999,0.719582660592573031,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2000,0.748850581649896929,0.734281525809360014,0.762184864669642193,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2003,0.737297646917812077,0.724269140852273008,0.749284792588634008,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2004,0.733839883926180048,0.72105921702379705,0.743751669550907879,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2005,0.729377835528994045,0.717428099794650831,0.739997500771150896,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2012,0.703075547793319933,0.684196181944733972,0.718352484276473024,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2013,0.699019246748456058,0.676951909395260065,0.718001268345734966,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2016,0.686167410811444944,0.657498308985985047,0.713814472793883992,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2017,0.683023456518845995,0.651806336086318994,0.715003968386814903,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2020,0.669999961366666064,0.631006181893048912,0.710716931117214124,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2002,0.740851331969696991,0.728148962164680946,0.753011838708333103,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2006,0.726043831964844899,0.713935708617272957,0.736100364119354977,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2007,0.721937648654509045,0.711957246987629078,0.731936598828517915,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2014,0.694497500447485039,0.670887507399892113,0.715965962406478029,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2015,0.690543609192430075,0.666024965994099993,0.71595360918690587,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2018,0.679272715744368982,0.642991378078775044,0.712699727432532959,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2019,0.674576487150443049,0.635767917480693057,0.71166895027796806,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,1995,0.765065360105682934,0.74682684339972194,0.784121280501349105,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2001,0.745425806156667869,0.730871130840386019,0.756980302159560914,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,1996,0.762481447446954119,0.745490424500000026,0.779853990855080892,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,1993,0.767113199066423057,0.747012774204396046,0.790348910217127054,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,1997,0.759746034844525853,0.743351474509102106,0.775366147475535006,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,1998,0.756688488228735023,0.740323943930285,0.771690870396452122,,
Central Asia (M49) and Southern Asia (MDG=M49),aggregated,2008,0.718261964768320937,0.706253696379055995,0.72902213089576795,,
