country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
Oceania (M49),aggregated,1994,0.875534061544023023,0.872560309340981943,0.878753674091837134,,
Oceania (M49),aggregated,1995,0.874398763913055932,0.870661120811691003,0.877172689766104963,,
Oceania (M49),aggregated,1998,0.866890938711213033,0.860806438006115004,0.87314298834432591,,
Oceania (M49),aggregated,2008,0.834879615424678034,0.827452415753712089,0.84011853443930995,,
Oceania (M49),aggregated,2000,0.860907028353130932,0.854769171110170034,0.866598664148209963,,
Oceania (M49),aggregated,2001,0.857628781511294958,0.851229966941629002,0.86314015555479795,,
Oceania (M49),aggregated,2002,0.854244800101812918,0.848350586591219202,0.859938662554723066,,
Oceania (M49),aggregated,2003,0.850333342583384111,0.844975590692127021,0.856758231231459999,,
Oceania (M49),aggregated,2004,0.846918679455335832,0.841460203804627049,0.853560200016575954,,
Oceania (M49),aggregated,2005,0.843327532613319164,0.838103530575757927,0.849648280196969918,,
Oceania (M49),aggregated,2006,0.840621121879450928,0.834748139576215853,0.846823502338910794,,
Oceania (M49),aggregated,2007,0.838028702736593023,0.831240043765797965,0.843472563807116993,,
Oceania (M49),aggregated,2009,0.831419967163059992,0.822094197338712918,0.837344845555416994,,
Oceania (M49),aggregated,2011,0.825790985828367075,0.812810346441088072,0.83329974229381798,,
Oceania (M49),aggregated,2012,0.821696022183106001,0.80602654557074993,0.832531087795459923,,
Oceania (M49),aggregated,2013,0.818951005264088039,0.802256721266232931,0.831103426923780919,,
Oceania (M49),aggregated,2016,0.809004820535259128,0.782943037277026965,0.829556255616739957,,
Oceania (M49),aggregated,2019,0.79902146470783908,0.768756192786478998,0.827018388133555105,,
Oceania (M49),aggregated,2020,0.79623070074219493,0.763131296963195926,0.827573157014768968,,
Oceania (M49),aggregated,1997,0.870557508319797058,0.864552440648832077,0.874543635543687969,,
Oceania (M49),aggregated,1999,0.864097799223629948,0.857811384689089906,0.869373863070935005,,
Oceania (M49),aggregated,2018,0.802017823313770029,0.773894495173012897,0.828587553832940027,,
Oceania (M49),aggregated,2015,0.811663516465868984,0.791325717327760025,0.830282710372213018,,
Oceania (M49),aggregated,1996,0.872805146252359054,0.867225422382482014,0.875983722587964087,,
Oceania (M49),aggregated,2010,0.82842325089485791,0.816349328413480957,0.834691014276237042,,
Oceania (M49),aggregated,2017,0.805695449043222989,0.780242554706150004,0.829235341488247069,,
Oceania (M49),aggregated,1993,0.876566226740833065,0.87332782004947096,0.879982688520587142,,
Oceania (M49),aggregated,2014,0.815876189703644061,0.796215434969266056,0.831107687783567028,,
