country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
Central Asia (M49),aggregated,1997,0.942699493055556004,0.907507083194444064,0.945475444566327039,,
Central Asia (M49),aggregated,2017,0.933900357827730065,0.856897552503535942,0.962506152535535842,,
Central Asia (M49),aggregated,2000,0.941054411111110878,0.900042417013889096,0.943725883888889117,,
Central Asia (M49),aggregated,1993,0.944859795232485977,0.916237720852810855,0.948537604323112959,,
Central Asia (M49),aggregated,1994,0.944311645811414135,0.914444279444444064,0.94797229676013206,,
Central Asia (M49),aggregated,1995,0.943835616666667043,0.912554614068223136,0.946937270041745882,,
Central Asia (M49),aggregated,1996,0.943273766666667068,0.910827170776415063,0.946299495491274012,,
Central Asia (M49),aggregated,1999,0.941581680555556022,0.902343465555556001,0.944380873333332982,,
Central Asia (M49),aggregated,2009,0.937078127739019107,0.878215137437396987,0.947923096886936989,,
Central Asia (M49),aggregated,2010,0.936648049129225946,0.876771006006603071,0.949167001973875935,,
Central Asia (M49),aggregated,2013,0.935358862357709153,0.867622271797863998,0.955624257736016114,,
Central Asia (M49),aggregated,2005,0.938469318055555113,0.889693701734595943,0.940736642499999998,,
Central Asia (M49),aggregated,2006,0.938166622222222135,0.888056249540367104,0.942716223824242916,,
Central Asia (M49),aggregated,1998,0.942166158333332948,0.905843937083332995,0.945014792083332944,,
Central Asia (M49),aggregated,2011,0.936275739452978928,0.874350998425774018,0.950248251186165072,,
Central Asia (M49),aggregated,2012,0.935951135288612845,0.87120476203508701,0.953343942991439097,,
Central Asia (M49),aggregated,2014,0.934911950724356067,0.866021980592189156,0.95819203376937212,,
Central Asia (M49),aggregated,2015,0.9349369153620809,0.863002384644449005,0.961275350283297025,,
Central Asia (M49),aggregated,2016,0.934218653947439082,0.860384208691233998,0.961747967107207002,,
Central Asia (M49),aggregated,2001,0.940472277777777865,0.896725259583332934,0.943078370694444001,,
Central Asia (M49),aggregated,2002,0.939838112500000045,0.895446309930555961,0.942543153888889096,,
Central Asia (M49),aggregated,2003,0.939299716666667006,0.893268597083332949,0.941902449999999947,,
Central Asia (M49),aggregated,2004,0.938835929166667027,0.890215869829548034,0.941219647728699926,,
Central Asia (M49),aggregated,2007,0.937732479166667021,0.8854645535162321,0.943022206409803054,,
Central Asia (M49),aggregated,2008,0.937486595461959116,0.881378107952459855,0.946002412965479045,,
Central Asia (M49),aggregated,2018,0.93340377383651707,0.855697302966489048,0.965363881226887988,,
Central Asia (M49),aggregated,2019,0.932979133821207007,0.853730963229439088,0.968372397959258002,,
Central Asia (M49),aggregated,2020,0.932615820903632042,0.851063618814442036,0.969986454194802894,,
