country,group,year,rli,qn05,qn95,n_sp,n_gen_changes
Northern America (M49),aggregated,2015,0.844519776306270953,0.830003037524587928,0.852981390501887926,,
Northern America (M49),aggregated,1997,0.859864329166666996,0.854310914927015053,0.861593051782001962,,
Northern America (M49),aggregated,2012,0.846788186617982941,0.835570112996632863,0.853673626242977934,,
Northern America (M49),aggregated,2007,0.850685120812353923,0.842971538318951996,0.85512091192594708,,
Northern America (M49),aggregated,2013,0.845994629408330923,0.834628374168412956,0.853432148536446999,,
Northern America (M49),aggregated,1993,0.861881123015517114,0.855712210873595946,0.862813809035438029,,
Northern America (M49),aggregated,1994,0.861533281187367939,0.855569132951461975,0.862591737851930884,,
Northern America (M49),aggregated,1995,0.861154544231800934,0.855021449452614934,0.862229793940369915,,
Northern America (M49),aggregated,1996,0.860693268036834103,0.854764443416667019,0.861955341835972999,,
Northern America (M49),aggregated,2000,0.857128224999999966,0.852358457999999986,0.859547135083332914,,
Northern America (M49),aggregated,2002,0.855276751250000022,0.849672017499999987,0.858459426666666969,,
Northern America (M49),aggregated,2003,0.854395090180282923,0.849223039458332996,0.85767921895833299,,
Northern America (M49),aggregated,2004,0.853655697500000032,0.847331873892707033,0.856937990833332996,,
Northern America (M49),aggregated,2005,0.852420350000000049,0.846791218949774049,0.856502239393120979,,
Northern America (M49),aggregated,2006,0.851781103583865939,0.844690401135066993,0.855654638247136057,,
Northern America (M49),aggregated,2011,0.847494051113885982,0.837053811507720957,0.85377084909691292,,
Northern America (M49),aggregated,2014,0.845276123421687009,0.832370280661509088,0.853094934295560159,,
Northern America (M49),aggregated,2016,0.843475004573247089,0.828098788832761001,0.852798370924665039,,
Northern America (M49),aggregated,2019,0.841031314724709933,0.823365012536058982,0.852556744220985041,,
Northern America (M49),aggregated,2020,0.840247112653957018,0.822507312967347026,0.852512822296545902,,
Northern America (M49),aggregated,2010,0.848073520301024009,0.83910557736397906,0.854061385075549073,,
Northern America (M49),aggregated,1999,0.858284768333333004,0.853047247583332946,0.86038044691666693,,
Northern America (M49),aggregated,2009,0.848884112258445955,0.839979480838837,0.854388072446250924,,
Northern America (M49),aggregated,2017,0.842425518649099203,0.826428700045409026,0.852649104762009946,,
Northern America (M49),aggregated,2018,0.841865495143277021,0.825675917008290905,0.85259860759326711,,
Northern America (M49),aggregated,2001,0.856170027916666965,0.851072040333333057,0.859024797416667041,,
Northern America (M49),aggregated,2008,0.849922778949112945,0.841581897818465929,0.854798503982129976,,
Northern America (M49),aggregated,1998,0.859064400000000061,0.853599561333332923,0.86124752349999989,,
